id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
230,Colorado Springs,El Paso County,CO,Colorado,City,38.83388,-104.82136,719,456568,174441,54527,506667557,947196,America/Denver
231,Commerce City,Adams County,CO,Colorado,City,39.80832,-104.93387,303,53696,14704,66053,91223535,1076681,America/Denver
232,Denver,Denver County,CO,Colorado,City,39.73915,-104.9847,303,682545,275795,53637,397133930,4225831,America/Denver
233,Fort Collins,Larimer County,CO,Colorado,City,40.58526,-105.08442,970,161175,58918,55647,144576803,3196479,America/Denver
234,Grand Junction,Mesa County,CO,Colorado,City,39.06387,-108.55065,970,60358,24290,45358,101735554,921925,America/Denver
235,Greeley,Weld County,CO,Colorado,City,40.42331,-104.70913,970,100883,33774,48813,123893579,314890,America/Denver
236,Highlands Ranch,Douglas County,CO,Colorado,CDP,39.55388,-104.96943,303,101350,37157,108570,62856809,70330,America/Denver
237,Lakewood,Jefferson County,CO,Colorado,City,39.70471,-105.08137,303,152597,63159,56954,111039036,3056315,America/Denver
238,Longmont,Boulder County/Weld County,CO,Colorado,City,40.16984,-105.09901,303,92088,33850,62208,71061215,3918285,America/Denver
239,Loveland,Larimer County,CO,Colorado,City,40.39776,-105.07498,970,75182,29985,56277,88294788,3811046,America/Denver
240,Pueblo,Pueblo County,CO,Colorado,City,38.25445,-104.60914,719,109412,43249,34550,138802381,2033674,America/Denver
241,Thornton,Adams County/Weld County,CO,Colorado,City,39.91942,-104.94281,303,133451,42679,66948,92549444,2767648,America/Denver
242,Westminster,Jefferson County/Adams County,CO,Colorado,City,39.88219,-105.06443,303,113130,42239,67081,82177513,6010635,America/Denver
243,Bridgeport,Fairfield County,CT,Connecticut,City,41.16704,-73.20483,203,147629,50367,41801,41591056,8721419,America/New York
244,Bridgeport (Town),Fairfield County,CT,Connecticut,Town,41.18739,-73.19576,203,147629,50367,41801,41591056,8721419,America/New York
245,Bristol,Hartford County,CT,Connecticut,City,41.67176,-72.94927,959,60452,24921,61478,68392866,1046762,America/New York
246,Bristol (Town),Hartford County,CT,Connecticut,Town,41.68158,-72.94075,959,60452,24921,61478,68392866,1046762,America/New York
247,Danbury,Fairfield County,CT,Connecticut,City,41.39482,-73.45401,203,84657,28894,66676,108636759,5813522,America/New York
248,Danbury (Town),Fairfield County,CT,Connecticut,Town,41.39874,-73.4781,203,84657,28894,66676,108636759,5813522,America/New York
249,East Hartford,Hartford County,CT,Connecticut,Town,41.7607,-72.60765,959,50821,20225,48369,46610800,1904156,America/New York
250,East Hartford (CDP),Hartford County,CT,Connecticut,CDP,41.78232,-72.61203,959,51211,20225,48369,46610800,1904156,America/New York
251,Fairfield,Fairfield County,CT,Connecticut,Town,41.17594,-73.27205,203,61523,20233,122306,77447723,3827261,America/New York
252,Greenwich,Fairfield County,CT,Connecticut,Town,41.04537,-73.63402,203,62695,22083,128153,123574542,50755176,America/New York
253,Hamden,New Haven County,CT,Connecticut,Town,41.39733,-72.92223,203,61218,23187,70791,84544680,1735227,America/New York
254,Hartford,Hartford County,CT,Connecticut,City,41.76371,-72.68509,959,124006,45239,30630,45016120,1748078,America/New York
255,Hartford (Town),Hartford County,CT,Connecticut,Town,41.76593,-72.68158,959,124006,45239,30630,45016120,1748078,America/New York
256,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,959,58007,24141,63158,70972793,720300,America/New York
257,Meriden,New Haven County,CT,Connecticut,City,41.53815,-72.80704,203,59988,24663,54588,61625575,937980,America/New York
258,Meriden (Town),New Haven County,CT,Connecticut,Town,41.53678,-72.79454,203,59988,24663,54588,61625575,937980,America/New York
259,Milford,New Haven County,CT,Connecticut,City,41.22509,-73.06111,203,53592,19631,0,57442071,10218658,America/New York
260,Milford (Town),New Haven County,CT,Connecticut,Town,41.22509,-73.06111,203,53592,21255,80247,57442071,10218658,America/New York
261,New Britain,Hartford County,CT,Connecticut,City,41.66121,-72.77954,959,72808,27858,40457,34588218,188305,America/New York
262,New Britain (Town),Hartford County,CT,Connecticut,Town,41.67655,-72.78616,959,72808,27858,40457,34588218,188305,America/New York
263,New Haven,New Haven County,CT,Connecticut,City,41.30815,-72.92816,203,130322,49771,37192,48407373,3739487,America/New York
264,New Haven (Town),New Haven County,CT,Connecticut,Town,41.31081,-72.92495,203,130322,49771,37192,48407373,3739487,America/New York
265,Norwalk,Fairfield County,CT,Connecticut,City,41.1176,-73.4079,203,88485,34137,76987,59275297,34928497,America/New York
266,Norwalk (Town),Fairfield County,CT,Connecticut,Town,41.09274,-73.4198,203,88485,34137,76987,59275297,34928497,America/New York
267,Stamford,Fairfield County,CT,Connecticut,City,41.05343,-73.53873,203,128874,46974,79359,97430571,37323740,America/New York
268,Stamford (Town),Fairfield County,CT,Connecticut,Town,41.07986,-73.54603,203,128874,46974,79359,97430571,37323740,America/New York
269,Stratford,Fairfield County,CT,Connecticut,Town,41.20569,-73.12799,203,52609,20714,66886,45291196,6294548,America/New York
270,Stratford (CDP),Fairfield County,CT,Connecticut,CDP,41.18454,-73.13317,203,52092,20714,66886,45291196,6294548,America/New York
271,Waterbury,New Haven County,CT,Connecticut,City,41.55815,-73.0515,203,108802,40213,40467,73880017,1086045,America/New York
272,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York
273,West Hartford,Hartford County,CT,Connecticut,Town,41.76657,-72.75494,959,63053,24935,86569,56558781,1097890,America/New York
274,West Hartford (CDP),Hartford County,CT,Connecticut,CDP,41.76204,-72.74204,959,63396,24935,86569,56558781,1097890,America/New York
275,West Haven,New Haven County,CT,Connecticut,City,41.27065,-72.94705,203,54927,20137,50846,27834890,439572,America/New York
276,West Haven (Town),New Haven County,CT,Connecticut,Town,41.27212,-72.9675,203,54927,20137,50846,27834890,439572,America/New York
277,Washington,District of Columbia,DC,District of Columbia,City,38.9041,-77.01723,202,672228,273390,70848,158364992,18633403,America/New York
278,Wilmington,New Castle County,DE,Delaware,City,39.74595,-75.54659,302,71948,28881,40465,28241488,15639762,America/New York
279,Alafaya,Orange County,FL,Florida,CDP,28.5641,-81.2114,407,85561,28286,63449,98218668,305253,America/New York
280,Boca Raton,Palm Beach County,FL,Florida,City,26.35869,-80.0831,561,93235,37224,70638,75943092,5106264,America/New York
281,Bonita Springs,Lee County,FL,Florida,City,26.33981,-81.7787,941,51704,19634,53955,100635620,20010277,America/New York
282,Boynton Beach,Palm Beach County,FL,Florida,City,26.52535,-80.06643,561,73966,28989,46178,41932052,854911,America/New York
283,Bradenton,Manatee County,FL,Florida,City,27.49893,-82.57482,941,54437,20649,40227,37010957,7032997,America/New York
284,Brandon,Hillsborough County,FL,Florida,CDP,27.9378,-82.28592,813,106604,40453,56464,85738633,4903052,America/New York
285,Cape Coral,Lee County,FL,Florida,City,26.56285,-81.94953,941,175229,58967,50536,273544395,35010453,America/New York
286,Clearwater,Pinellas County,FL,Florida,City,27.97895,-82.76657,727,113003,46234,44198,67027321,36469162,America/New York
287,Coconut Creek,Broward County,FL,Florida,City,26.25175,-80.17894,954,59302,22113,52800,30711918,392549,America/New York
288,Coral Gables,Miami-Dade County,FL,Florida,City,25.72149,-80.26838,305,51117,17954,93934,33492473,63155377,America/New York
289,Coral Springs,Broward County,FL,Florida,City,26.27119,-80.2706,954,129485,40571,66430,61625913,520928,America/New York
290,Davie,Broward County,FL,Florida,Town,26.06287,-80.2331,954,100882,33707,59680,90395673,2163582,America/New York
291,Daytona Beach,Volusia County,FL,Florida,City,29.21081,-81.02283,386,64736,26998,27901,168629342,6531106,America/New York
292,Deerfield Beach,Broward County,FL,Florida,City,26.31841,-80.09977,954,79768,31915,40626,39084365,2996502,America/New York
293,Delray Beach,Palm Beach County,FL,Florida,City,26.46146,-80.07282,561,66255,27361,50136,41253110,1048054,America/New York
294,Deltona,Volusia County,FL,Florida,City,28.90054,-81.26367,386,88474,29496,42077,96463097,9151359,America/New York
295,Doral,Miami-Dade County,FL,Florida,City,25.81954,-80.35533,305,56035,15038,72933,35978653,3338846,America/New York
296,Fort Lauderdale,Broward County,FL,Florida,City,26.12231,-80.14338,954,178590,73446,50778,89672308,4372775,America/New York
297,Fort Myers,Lee County,FL,Florida,City,26.64063,-81.87231,941,74013,25095,39039,103020979,23820848,America/New York
298,Fountainebleau,Miami-Dade County,FL,Florida,CDP,25.77288,-80.34783,305,53413,18175,42444,10003979,542329,America/New York
299,Gainesville,Alachua County,FL,Florida,City,29.65163,-82.32483,352,130128,47968,31818,161411152,3017660,America/New York
300,Hialeah,Miami-Dade County,FL,Florida,City,25.8576,-80.27811,305,237069,69219,29249,55623172,3481216,America/New York
301,Hollywood,Broward County,FL,Florida,City,26.0112,-80.14949,954,149728,55823,46791,70639073,8937087,America/New York
302,Homestead,Miami-Dade County,FL,Florida,City,25.46872,-80.47756,305,66498,19154,40959,39204022,1231550,America/New York
303,Jacksonville,Duval County,FL,Florida,City,30.33218,-81.65565,904,868031,318575,46764,1935873371,329424471,America/New York
304,Jupiter,Palm Beach County,FL,Florida,Town,26.93422,-80.09421,561,62707,24536,71233,56565914,4574769,America/New York
305,Kendale Lakes,Miami-Dade County,FL,Florida,CDP,25.70816,-80.407,305,58767,17936,48818,20913887,1379611,America/New York
306,Kendall,Miami-Dade County,FL,Florida,CDP,25.67927,-80.31727,305,78580,27913,61554,41735233,1302744,America/New York
307,Kissimmee,Osceola County,FL,Florida,City,28.29196,-81.40757,407,69152,20765,37487,53929070,1760423,America/New York
308,Lakeland,Polk County,FL,Florida,City,28.03947,-81.9498,863,104401,39376,39706,170700664,23355418,America/New York
309,Largo,Pinellas County,FL,Florida,City,27.90947,-82.78732,727,81000,36140,39468,47265491,2548789,America/New York
310,Lauderhill,Broward County,FL,Florida,City,26.14036,-80.21338,954,71579,23770,37429,22074601,130328,America/New York
311,Lehigh Acres,Lee County,FL,Florida,CDP,26.62535,-81.6248,941,106747,31831,40226,239916420,3912093,America/New York
312,Margate,Broward County,FL,Florida,City,26.24453,-80.20644,954,57234,20651,42786,22943340,594611,America/New York
313,Melbourne,Brevard County,FL,Florida,City,28.08363,-80.60811,321,80127,33619,40219,97226478,14784473,America/New York
314,Miami,Miami-Dade County,FL,Florida,City,25.77427,-80.19366,305,441003,157347,31051,93204587,51995800,America/New York
315,Miami Beach,Miami-Dade County,FL,Florida,City,25.79065,-80.13005,305,92312,43266,44342,19903821,19510956,America/New York
316,Miami Gardens,Miami-Dade County,FL,Florida,City,25.94204,-80.2456,305,113187,31003,38253,47236363,2016214,America/New York
317,Miramar,Broward County,FL,Florida,City,25.98731,-80.23227,954,137132,38474,65282,76095016,4917826,America/New York
318,North Miami,Miami-Dade County,FL,Florida,City,25.89009,-80.18671,305,62435,18302,36537,21959722,4516371,America/New York
319,North Port,Sarasota County,FL,Florida,City,27.04422,-82.23593,941,62345,22580,52571,257497336,12317102,America/New York
320,Ocala,Marion County,FL,Florida,City,29.1872,-82.14009,352,58218,21664,35924,118749898,0,America/New York
321,Orlando,Orange County,FL,Florida,City,28.53834,-81.37924,407,270934,105359,42318,272512582,22100434,America/New York
322,Palm Bay,Brevard County,FL,Florida,City,28.03446,-80.58866,321,107888,37821,43163,170217927,8124203,America/New York
323,Palm Beach Gardens,Palm Beach County,FL,Florida,City,26.82339,-80.13865,561,52923,22945,68802,145122054,631694,America/New York
324,Palm Coast,Flagler County,FL,Florida,City,29.58497,-81.20784,386,82893,28169,48369,245950004,2816036,America/New York
325,Palm Harbor,Pinellas County,FL,Florida,CDP,28.07807,-82.76371,727,59007,26423,53281,44936602,24630843,America/New York
326,Pembroke Pines,Broward County,FL,Florida,City,26.00315,-80.22394,954,166611,56171,61279,85539498,5033092,America/New York
327,Pensacola,Escambia County,FL,Florida,City,30.42131,-87.21691,850,53193,22103,45527,58529173,47045219,America/Chicago
328,Pine Hills,Orange County,FL,Florida,CDP,28.55778,-81.4534,407,64516,20196,35854,31671879,1289034,America/New York
329,Pinellas Park,Pinellas County,FL,Florida,City,27.8428,-82.69954,727,51617,20981,41494,41127042,1726564,America/New York
330,Plantation,Broward County,FL,Florida,City,26.12759,-80.2331,954,92560,33208,66647,56037359,773422,America/New York
331,Poinciana,Polk County/Osceola County,FL,Florida,CDP,28.11873,-81.47923,863,56678,17275,39839,186162684,2719596,America/New York
332,Pompano Beach,Broward County,FL,Florida,City,26.23786,-80.12477,954,107762,41422,41321,62261002,1737713,America/New York
333,Port Charlotte,Charlotte County,FL,Florida,CDP,26.97617,-82.09064,941,55206,23486,38896,73763541,9994165,America/New York
334,Port Orange,Volusia County,FL,Florida,City,29.13832,-80.99561,386,59866,24356,43353,69524441,5153051,America/New York
335,Port St. Lucie,St. Lucie County,FL,Florida,City,27.29393,-80.35033,772,179413,59221,49813,307920898,4193519,America/New York
336,Riverview,Hillsborough County,FL,Florida,CDP,27.86614,-82.32648,813,76590,26495,66497,119614526,4615996,America/New York
337,Sanford,Seminole County,FL,Florida,City,28.80055,-81.27312,407,58111,19039,38273,59720123,9150087,America/New York
338,Sarasota,Sarasota County,FL,Florida,City,27.33643,-82.53065,941,55118,23461,43244,38024624,27281560,America/New York
339,Spring Hill,Hernando County,FL,Florida,CDP,28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,America/New York
340,St. Petersburg,Pinellas County,FL,Florida,City,27.77086,-82.67927,727,257083,105443,45748,159935822,196559588,America/New York
341,Sunrise,Broward County,FL,Florida,City,26.1716,-80.26163,954,92700,31354,49806,42335506,5032750,America/New York
342,Tallahassee,Leon County,FL,Florida,City,30.43826,-84.28073,850,189907,74388,39681,260089732,8300437,America/New York
343,Tamarac,Broward County,FL,Florida,City,26.21286,-80.24977,954,64681,27242,43235,30099887,1195872,America/New York
344,Tamiami,Miami-Dade County,FL,Florida,CDP,25.75871,-80.39839,305,57123,16085,46449,18250601,985214,America/New York
345,Tampa,Hillsborough County,FL,Florida,City,27.94752,-82.45843,813,369075,142232,44185,293748385,160056620,America/New York
346,The Hammocks,Miami-Dade County,FL,Florida,CDP,25.67149,-80.4445,305,54833,15687,58655,20412461,571867,America/New York
347,The Villages,Sumter County/Marion County,FL,Florida,CDP,28.89895,-81.99374,352,61046,36306,56672,81159020,3246650,America/New York
348,Town 'n' Country,Hillsborough County,FL,Florida,CDP,28.01057,-82.57732,813,82506,30435,49559,57216423,5301524,America/New York
349,Wellington,Palm Beach County,FL,Florida,Village,26.65868,-80.24144,561,62560,19959,81047,116920914,1164323,America/New York
350,Weston,Broward County,FL,Florida,City,26.10037,-80.39977,954,69959,21259,93814,64536378,3772764,America/New York
351,West Palm Beach,Palm Beach County,FL,Florida,City,26.71534,-80.05337,561,106779,41474,45800,142798170,6628847,America/New York
352,Albany,Dougherty County,GA,Georgia,City,31.57851,-84.15574,229,74843,29076,29676,142614721,1974494,America/New York
353,Alpharetta,Fulton County,GA,Georgia,City,34.07538,-84.29409,770,63693,22824,92839,69668492,956380,America/New York
354,Athens,Clarke County,GA,Georgia,Unified Government,33.95219,-83.36715,706,123912,45389,39464,308738452,4741286,America/New York
355,Atlanta,DeKalb County/Fulton County,GA,Georgia,City,33.76291,-84.42267,678,463878,185820,47527,345684978,2311315,America/New York
356,Augusta,Richmond County,GA,Georgia,Consolidated Government,33.36149,-82.075,706,201793,73917,39464,840008393,11042219,America/New York
357,Brookhaven,DeKalb County,GA,Georgia,City,33.85844,-84.3402,678,51910,21780,69277,29997184,312796,America/New York
358,Columbus,Muscogee County,GA,Georgia,City,32.46098,-84.98771,706,200579,72760,42306,560530243,11873622,America/New York
359,Johns Creek,Fulton County,GA,Georgia,City,34.02893,-84.19858,770,83335,26583,105417,79805550,1376199,America/New York
360,Macon,Bibb County,GA,Georgia,Other,32.80884,-83.69419,478,153515,57025,36568,645603627,14488557,America/New York
361,Marietta,Cobb County,GA,Georgia,City,33.9526,-84.54993,770,59067,23371,44953,60358315,200841,America/New York
362,Roswell,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,770,94501,34697,82150,105445793,3323799,America/New York
363,Sandy Springs,Fulton County,GA,Georgia,City,33.92427,-84.37854,678,105330,43058,63917,97526360,2245984,America/New York
364,Savannah,Chatham County,GA,Georgia,City,32.08354,-81.09983,912,145674,52798,36466,268318796,13908113,America/New York
365,Smyrna,Cobb County,GA,Georgia,City,33.88399,-84.51438,770,56146,23666,62363,40421607,91658,America/New York
366,Valdosta,Lowndes County,GA,Georgia,City,30.8327,-83.27849,229,55724,21029,29336,92873485,1348175,America/New York
367,Warner Robins,Peach County/Houston County,GA,Georgia,City,32.5971,-83.65394,478,73490,27334,42795,93514656,755694,America/New York
368,Honolulu,Honolulu County,HI,Hawaii,CDP,21.32435,-157.84764,808,352769,127177,61442,156812572,20481895,Pacific/Honolulu
369,Ames,Story County,IA,Iowa,City,42.03471,-93.61994,515,65060,24004,41616,64894500,521634,America/Chicago
370,Ankeny,Polk County,IA,Iowa,City,41.72971,-93.60577,515,56764,19569,75465,76091403,0,America/Chicago
371,Cedar Rapids,Linn County,IA,Iowa,City,42.00833,-91.64407,319,130405,53328,53581,183340874,3295742,America/Chicago
372,Council Bluffs,Pottawattamie County,IA,Iowa,City,41.26194,-95.86083,712,62597,24770,45551,111059820,6849464,America/Chicago
373,Davenport,Scott County,IA,Iowa,City,41.52364,-90.57764,563,102582,41100,47343,162885999,5501339,America/Chicago
374,Des Moines,Warren County/Polk County,IA,Iowa,City,41.57259,-93.61024,515,210330,81717,46290,230329944,4657227,America/Chicago
375,Dubuque,Dubuque County,IA,Iowa,City,42.50056,-90.66457,563,58799,23901,47450,78952077,2802123,America/Chicago
376,Iowa City,Johnson County,IA,Iowa,City,41.66113,-91.53017,319,74220,28985,42375,67167680,734599,America/Chicago
377,Sioux City,Plymouth County/Woodbury County,IA,Iowa,City,42.49567,-96.39053,712,82821,31261,43888,151377897,3018320,America/Chicago
378,Waterloo,Black Hawk County,IA,Iowa,City,42.49276,-92.34296,319,68460,28430,41933,159034208,4720453,America/Chicago
379,West Des Moines,Madison County/Warren County/Dallas County/Polk County,IA,Iowa,City,41.54994,-93.78135,515,64113,25884,71200,120659778,2534589,America/Chicago
380,Boise City,Ada County,ID,Idaho,City,43.6135,-116.20345,208,218281,86916,50323,212601021,1845301,America/Boise
381,Caldwell,Canyon County,ID,Idaho,City,43.66294,-116.68736,208,51686,15709,41048,57473021,99611,America/Boise
382,Idaho Falls,Bonneville County,ID,Idaho,City,43.46658,-112.03414,208,59184,20945,44580,58784318,1144625,America/Boise
383,Meridian,Ada County,ID,Idaho,City,43.61211,-116.39151,208,90739,29499,63023,76985230,163548,America/Boise
384,Nampa,Canyon County,ID,Idaho,City,43.54072,-116.56346,208,89839,28741,40060,81908344,377237,America/Boise
385,Pocatello,Power County/Bannock County,ID,Idaho,City,42.87158,-112.46556,208,54441,20428,40269,84203491,409684,America/Boise
386,Addison (Township),DuPage County,IL,Illinois,Township,41.948,-87.98061,630,89715,30362,64652,82232906,1771401,America/Chicago
387,Algonquin (Township),McHenry County,IL,Illinois,Township,42.19807,-88.27594,847,87697,31547,84694,120267498,4132053,America/Chicago
388,Arlington Heights,Cook County,IL,Illinois,Village,42.08836,-87.98063,847,75926,30358,81059,42995537,79089,America/Chicago
389,Aurora,Kendall County/Kane County/Will County/DuPage County,IL,Illinois,City,41.76346,-88.2901,630,200661,61449,63090,116273603,2278285,America/Chicago
390,Aurora (Township),Kane County,IL,Illinois,Township,41.76887,-88.31893,630,148308,44798,49797,89841331,1727843,America/Chicago
391,Avon,Lake County,IL,Illinois,Township,42.35277,-88.06133,847,64687,20969,63396,58179566,3501759,America/Chicago
392,Berwyn,Cook County,IL,Illinois,City,41.85059,-87.79367,708,56368,18291,57355,10112485,0,America/Chicago
393,Berwyn (Township),Cook County,IL,Illinois,Township,41.84333,-87.79093,708,56368,18291,57355,10112485,0,America/Chicago
394,Bloom,Cook County,IL,Illinois,Township,41.51591,-87.60098,708,91132,31948,48088,120177524,628793,America/Chicago
395,Bloomingdale (Township),DuPage County,IL,Illinois,Township,41.94563,-88.08462,630,113024,40097,68474,88284784,3206299,America/Chicago
396,Bloomington,McLean County,IL,Illinois,City,40.4842,-88.99369,309,78292,31110,62254,70308044,24508,America/Chicago
397,Bloomington City,McLean County,IL,Illinois,Township,40.47578,-88.96991,309,78292,31110,62254,70308044,24508,America/Chicago
398,Bolingbrook,Will County/DuPage County,IL,Illinois,Village,41.69112,-88.10157,630,74306,21830,77506,62398764,536671,America/Chicago
399,Bremen,Cook County,IL,Illinois,Township,41.60156,-87.73503,708,110683,40159,55902,97756706,295143,America/Chicago
400,Capital,Sangamon County,IL,Illinois,Township,39.79106,-89.64457,217,116358,50476,49925,154319522,16272442,America/Chicago
401,Champaign,Champaign County,IL,Illinois,City,40.11642,-88.24338,217,86096,33088,42094,58812707,64280,America/Chicago
402,Champaign City,Champaign County,IL,Illinois,Township,40.11506,-88.27365,217,86096,33088,42094,58812707,64280,America/Chicago
403,Chicago,Cook County/DuPage County,IL,Illinois,City,41.83755,-87.68184,773,2720546,1035436,48522,588808396,17615206,America/Chicago
404,Cicero,Cook County,IL,Illinois,Town,41.84559,-87.75394,708,83886,21721,41866,15190700,0,America/Chicago
405,Cicero (Township),Cook County,IL,Illinois,Township,41.84454,-87.75929,708,83886,21721,41866,15190700,0,America/Chicago
406,Decatur,Macon County,IL,Illinois,City,39.84031,-88.9548,217,73254,31287,40679,109481509,12133963,America/Chicago
407,Decatur (Township),Macon County,IL,Illinois,Township,39.8463,-88.95822,217,50930,21348,35606,75341124,5287646,America/Chicago
408,Des Plaines,Cook County,IL,Illinois,City,42.03336,-87.8834,847,58677,22191,65109,37150630,379921,America/Chicago
409,Downers Grove (Township),DuPage County,IL,Illinois,Township,41.7543,-87.97753,630,149401,56956,81535,128386816,3508803,America/Chicago
410,Dundee,Kane County,IL,Illinois,Township,42.11043,-88.30135,847,65946,20816,70658,90738961,2416495,America/Chicago
411,Du Page,Will County,IL,Illinois,Township,41.68366,-88.08834,630,88783,27285,76058,93921849,1300802,America/Chicago
412,Elgin,Cook County/Kane County,IL,Illinois,City,42.03964,-88.32171,847,112111,35075,60499,96981130,1272788,America/Chicago
413,Elgin (Township),Kane County,IL,Illinois,Township,42.0261,-88.31822,847,104288,33089,63609,82722594,1676406,America/Chicago
414,Elk Grove,Cook County,IL,Illinois,Township,42.0299,-87.97733,847,93295,36308,59394,71391437,1069750,America/Chicago
415,Evanston,Cook County,IL,Illinois,City,42.04114,-87.69006,847,75527,29263,70041,20148542,57390,America/Chicago
416,Evanston (Township),Cook County,IL,Illinois,Township,42.04639,-87.69435,847,75527,29263,70041,20148542,57390,America/Chicago
417,Frankfort (Township),Will County,IL,Illinois,Township,41.5136,-87.84645,815,58934,19051,96853,95349287,52823,America/Chicago
418,Grafton,McHenry County,IL,Illinois,Township,42.20028,-88.41561,847,54213,17543,95825,92661262,915052,America/Chicago
419,Hanover,Cook County,IL,Illinois,Township,42.02803,-88.20364,847,101296,32297,73620,86551770,624095,America/Chicago
420,Hoffman Estates,Cook County/Kane County,IL,Illinois,Village,42.06521,-88.153,630,52138,18154,84583,53921223,466419,America/Chicago
421,Joliet,Kendall County/Will County,IL,Illinois,City,41.5177,-88.14885,815,147861,46895,60976,166876584,1718805,America/Chicago
422,Joliet (Township),Will County,IL,Illinois,Township,41.50829,-88.08257,815,87325,29476,43788,91291805,2169856,America/Chicago
423,Leyden,Cook County,IL,Illinois,Township,41.93807,-87.8685,847,92862,32687,53593,51603321,0,America/Chicago
424,Libertyville (Township),Lake County,IL,Illinois,Township,42.28417,-87.94521,847,53919,19317,94258,91712931,2833177,America/Chicago
425,Lisle (Township),DuPage County,IL,Illinois,Township,41.77193,-88.09209,630,119818,45377,86610,91532435,1583080,America/Chicago
426,Lockport (Township),Will County,IL,Illinois,Township,41.59625,-88.08915,815,60056,20428,60827,93102197,1608475,America/Chicago
427,Lyons (Township),Cook County,IL,Illinois,Township,41.77475,-87.8596,708,112890,39769,66065,94153993,1462083,America/Chicago
428,Maine,Cook County,IL,Illinois,Township,42.03353,-87.86441,847,136667,50680,65608,67114018,640546,America/Chicago
429,Milton,DuPage County,IL,Illinois,Township,41.85857,-88.08948,630,118844,43510,84039,88967140,2353781,America/Chicago
430,Mount Prospect,Cook County,IL,Illinois,Village,42.06642,-87.93729,847,54747,20290,69520,26795937,89685,America/Chicago
431,Naperville,Will County/DuPage County,IL,Illinois,City,41.74917,-88.16202,630,147100,50073,109468,100155901,1471160,America/Chicago
432,Naperville (Township),DuPage County,IL,Illinois,Township,41.76635,-88.2009,630,102708,37133,88282,90385339,2423679,America/Chicago
433,New Trier,Cook County,IL,Illinois,Township,42.1014,-87.74493,847,56499,19314,149837,41189481,826348,America/Chicago
434,Niles (Township),Cook County,IL,Illinois,Township,42.03209,-87.75778,847,106229,37478,69857,55058020,0,America/Chicago
435,Normal,McLean County,IL,Illinois,Town,40.5142,-88.99063,309,54373,19070,52102,48304749,226141,America/Chicago
436,Normal (Township),McLean County,IL,Illinois,Township,40.53839,-88.98528,309,54383,18955,51761,82541736,226141,America/Chicago
437,Northfield (Township),Cook County,IL,Illinois,Township,42.10881,-87.83476,847,87799,32220,97047,88751338,950333,America/Chicago
438,Oak Lawn,Cook County,IL,Illinois,Village,41.71087,-87.75811,708,56781,21527,56185,22198794,59,America/Chicago
439,Oak Park,Cook County,IL,Illinois,Village,41.88503,-87.7845,708,52287,21612,80196,12172451,0,America/Chicago
440,Oak Park (Township),Cook County,IL,Illinois,Township,41.88716,-87.78994,708,52287,21612,80196,12172451,0,America/Chicago
441,Orland,Cook County,IL,Illinois,Township,41.59859,-87.85041,708,99816,35941,82077,92383151,1860231,America/Chicago
442,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,708,58619,22048,81453,56938629,736535,America/Chicago
443,Oswego (Township),Kendall County,IL,Illinois,Township,41.67577,-88.31799,630,55375,17246,87776,103287695,1644077,America/Chicago
444,Palatine,Cook County,IL,Illinois,Village,42.1103,-88.03424,847,69308,26242,71573,35271964,370235,America/Chicago
445,Palatine (Township),Cook County,IL,Illinois,Township,42.11125,-88.0644,847,114057,42938,77545,92499527,989285,America/Chicago
446,Palos,Cook County,IL,Illinois,Township,41.68774,-87.85,708,54841,20823,59920,87398956,4274345,America/Chicago
447,Peoria,Peoria County,IL,Illinois,City,40.69365,-89.58899,309,115070,47239,45552,124916605,5748402,America/Chicago
448,Peoria City,Peoria County,IL,Illinois,Township,40.74495,-89.60964,309,104291,43267,42041,104884817,5748402,America/Chicago
449,Plainfield (Township),Will County,IL,Illinois,Township,41.59381,-88.19968,815,81678,23935,84786,86725275,4549499,America/Chicago
450,Proviso,Cook County,IL,Illinois,Township,41.86472,-87.87119,708,151772,54255,53281,76908074,254,America/Chicago
451,Rich,Cook County,IL,Illinois,Township,41.51529,-87.73338,708,77100,29025,63240,94251248,419073,America/Chicago
452,Rockford,Winnebago County/Ogle County,IL,Illinois,City,42.25884,-89.06455,815,148278,58559,38716,164382960,2627885,America/Chicago
453,Rockford (Township),Winnebago County,IL,Illinois,Township,42.24868,-89.07452,815,173110,69780,40391,287475255,4720906,America/Chicago
454,Schaumburg,Cook County/DuPage County,IL,Illinois,Village,42.02901,-88.08366,630,74693,30011,74086,49947601,292112,America/Chicago
455,Schaumburg (Township),Cook County,IL,Illinois,Township,42.02911,-88.08951,630,132162,49006,74034,79648612,555721,America/Chicago
456,Skokie,Cook County,IL,Illinois,Village,42.03336,-87.73339,847,64821,22787,66999,26065833,0,America/Chicago
457,Springfield,Sangamon County,IL,Illinois,City,39.80172,-89.64371,217,116565,50575,49868,155637192,16272442,America/Chicago
